repo	score	disk_kb	lang	stars	description
Dillonb/chip8	8	366	C	6	CHIP-8 Interpreter in C and SDL
Eschelle/Eschelle	8	94	C++	6	The Eschelle programming language
ffwff/bfjit	8	23	C	6	JIT interpreter for brainfuck
flightaware/tclsyslogd	8	148	C	6	BSD syslogd with integrated Tcl interpreter that can look at each message received
Gikoskos/simbly	8	390	C	6	Multithreaded runtime and interpreter for programs written in a tiny assembly-like language
hackzilla/cola	8	149	C	6	A lightweight, yet fairly powerful BASIC interpreter in < 300 lines of code. Works with just about any C/C++ compiler an
kladskull/mybb	8	365	C	6	Business Basic Interpreter
louiswins/unlambda	8	132	C	6	unl is an Unlambda interpreter
lucyTheSlayer/orange	8	35	C	6	study to make a simple comiler & interpreter
mewo2/gertie	8	14	C	6	A Scheme-like Lisp interpreter
kladskull/mybb	8	365	C	6	Business Basic Interpreter
oguzbakir/brainfuck-interpreter	8	17	C	6	Little brainfuck interpreter with some typo checks. Written in C
sdevlin/yoshi	8	456	C	6	A LISP interpreter written in C
szholdiyarov/command-line-interpreter	8	2	C	6	A simple command line interpreter(shell)
wasmite/wasabi	8	974	C	6	
414owen/Befunge	8	76	C	5	An extremely fast befunge interpreter
756445638/jsInterpreter	8	226	C	5	
aashutoshrathi/Elf	8	538	C	5	Linux Terminal interpreter in C
bcantrill/bfuld	8	96	C	5	Modifies an ELF interpreter for development purposes
brouhaha/i2l	8	37	C	5	Portable I2L interpreter in C
catseye/beta-Juliet	8	81	C	5	MIRROR of https://codeberg.org/catseye/beta-Juliet : A minimal event-oriented language
davidxifeng/ci	8	450	Rust	5	a little c interpreter
eltuza/myjs	8	83	C	5	JS (ES262) interpreter in C - Extremely Experimental - Learning purposes
erickedji/pseudoccompilercollection	8	340	C	5	Compiler and byte-code interpreter for a C-like langage (using LEX & YACC)
ethanhowell/vowels	8	296	C	5	An interpreter for the Vowels Programming Language.
glycerine/rustxi	8	429	C	5	rust + transactions + interpreter = rustxi.  rustxi is a transactional jit-compilation-based REPL for the Rust language.
gokselgoktas/brainfuck	8	25	C	5	An optimizing Brainfuck compiler & interpreter
iamsubhranil/Alang	8	311	C	5	An algorithmic language with recursive descent parser and tree-walk interpreter/bytecode stack virtual machine(in separa
kitaka/lexer	8	132	C	5	My simple interpreter for PHP.
luaforge/l-bia	8	192	C	5	Lua Built-In program (L-Bia) is a self-running Lua interpreter. It turns
your Lua program with all required modules (ei
lukasleung/cs170Project	8	43	C	5	Creating a Scheme Interpreter in C
marmalade/python	8	273	C	5	python interpreter for marmalade
mattn/C-win32	8	156	C	5	win32 port of C(a pseudo-interpreter of the C programming language)
mig-hub/yabi	8	104	C	5	Yet Another Brainfuck Interpreter
MineRobber9000/bf3ds	8	76	C	5	Brainfuck interpreter for the 3DS.
Mithreindeir/nom	8	163	C	5	First Attempt at a Toy Language Interpreter
NFestoso/Compiler	8	67	C	5	Front-end Platypus compiler implemented in C. Includes Buffer, Scanner, and Parser. Platypus is a language comprised of 
noahp/nocli	8	95	C	5	Command-line interpreter for embedded systems
nohajc/.KEK-on-Rails	8	646	C	5	A C-like language interpreter
