repo	score	disk_kb	lang	stars	archived	description
picolisp/pil21	3	46391	LLVM	251		PicoLisp is an open source Lisp dialect. It is based on LLVM and compiles and runs on any 64-bit POSIX system. Its most 
ploc-org/CNPL	3	1793		242		:books: 🇨🇳 《国产编程语言蓝皮书》历年集合
kin-lang/kin	3	90943	TypeScript	233		The Kin Programming Language ( Write computer programs in Kinyarwanda - native language for Rwandans )
Whiley/WhileyCompiler	3	45660	Java	229		The Whiley Compiler (WyC)
endorlabs/MIRAI	3	224715	Rust	219		
Rinnegatamante/lpp-vita	3	23783	C	203		Lua Player Plus for PSVITA. Documentation on: http://rinnegatamante.github.io/lpp-vita/
Kalaam-Programming-Language/Kalaam	3	36677	JavaScript	198		Kalaam is the Programming language in Hindi.
zuri-lang/zuri	3	24450	C	194		Build complete, production-ready full-stack services with nothing but Zuri
manuel-serrano/bigloo	3	150540	Scheme	171		a practical Scheme compiler
modula3/cm3	3	381772	C	161		Critical Mass Modula-3
fantom-lang/fantom	3	33219	Fantom	153		Fantom Programming Language
go2hx/go2hx	3	157813	Haxe	151		Import Go libraries in your Haxe projects Go -> Haxe source-to-source compiler
uliwitness/Stacksmith	3	24520	C++	145		An intuitive software erector kit targeted at people new to programming, but with enough potential to stay useful once t
X-Sharp/XSharpPublic	3	787190	C#	144		Public repository for the source code for the XSharp Compiler, Runtime, Project System  and Tools. 
NICUP14/MiniLang	3	1013	Python	139		A type-safe C successor that compiles directly to various platforms.
tomhea/flipjump	3	22837	Text	137		The single instruction language - Flip a bit, then Jump
bscarlet/llvm-general	3	3140	Haskell	134		Rich LLVM bindings for Haskell (with transfer of LLVM IR to and from C++, detailed compilation pass control, etc.)
norswap/autumn	3	1209	Java	132		A Java parser combinator library written with an unmatched feature set.
theratioproject/simple	3	38646	C	128	yes	The Simple Intelligent and Modular Programming Language and Environment
OpenEuphoria/euphoria	3	122952	Euphoria	118		The Euphoria programming language (https://openeuphoria.org/)
solana-labs/solana-solidity.js	3	811	TypeScript	115	yes	Compile, deploy, and use Solidity contracts on Solana
kign/c4wa	3	1751	WebAssembly	111		A simplified subset of C transpiled into Web Assembly
roc-lang/basic-webserver	3	4818	Roc	105		A basic webserver in Roc
Soltsice/Soltsice	3	839	TypeScript	100	yes	Solidity & TypeScript Integration, Configuration and Examples
impworks/lens	3	5967	C#	92		Language for Embeddable .NET Scripting
vorov2/dyalect	3	12796	C#	79		Dyalect is a dynamic programming language for .NET.
gavr123456789/Niva	3	17734	Kotlin	73		Smalltalk like programming language
deno-web3/solc	3	7442	TypeScript	72		💎 Solidity compiler bindings for Deno
thomasmueller/bau-lang	3	13922	Java	72		Bau is a simple, concise, safe, powerful and fast programming language.
LADSoft/DotNetPELib	3	12486	C++	59		A C++11 library used to create a managed program (CIL) and dump to either .IL, .EXE, or .DLL format
cdiggins/heron-language	3	18908	HTML	58		A pure functional type-inferred language based on JavaScript
glossopoeia/boba	3	6174	F#	57		A general purpose statically-typed concatenative programming language.
Konstantin8105/f4go	3	10915	Go	51		Transpiling fortran code to golang code
bitdotgames/BHL	3	10084	C#	40		BHL is a strictly typed programming language based on C# specifically tailored for gameplay logic scripting.
cmspeedrunner/Zang	3	17686	Python	36		Zang is a dynamically typed high level programming language.
soIu/rpython	3	12991	Python	35		WASM compatible RPython fork
foxzyt/Sapphire	3	19553	Makefile	31		Sapphire is a hybrid programming language developed with a focus on high performance, simplicity, and a complete "out-of
vorov2/ela	3	11233	C#	24		Ela is a simple, yet powerful modern functional language with a state-of-art syntax. Ela combines strict and lazy evalua
martianoff/gala	3	5794	Go	16		Scala on Go. Sealed types, pattern matching, Option/Either/Try/Future, and immutable collections — transpiled to plain G
tekknolagi/gecho	3	7264	C	16	yes	Simple stack language in C. Has a few basic commands; working to implement a `while` loop and user-defined functions. If
Kawa-oneechan/SCI11-Plus	3	5797	C	9		Basically, the Sierra SCI engine, cleaned up, and a separate version with ✨extensions✨
Irwin1985/Hungaro	3	8327	Java	8		A syntax based programming language
bad-antics/lateralus-lang	3	17648	Python	6		Lateralus — a pipeline-native programming language with compiler, VM, OS, LSP, and VS Code extension. Try it at lateralu
degory/ghul	3	17752	Shell	4		compiler for the ghūl programming language
cxy-lang/cxy	3	5245	C	3		
berry-lang/berry_web	3	7578	C	2		
nathanfarlow/BrainFCE	3	8186	C	2	yes	A BF interpreter and native compiler written in C for TI 84+ CE calculators.
nikomatsakis/lalrpop	3	8909	Rust	2		LR(1) parser generator for Rust
watkinsr/SQASM	3	6770	Python	2		Quantum computation simulation interpreter in C++.
vinta/awesome-python	2	5704	Python	305221		An opinionated list of Python frameworks, libraries, tools, and resources
mishoo/UglifyJS	2	19132	JavaScript	13391		 JavaScript parser / mangler / compressor / beautifier toolkit
node-inspector/node-inspector	2	7522	JavaScript	12644		Node.js debugger based on Blink Developer Tools
prompt-toolkit/python-prompt-toolkit	2	9807	Python	10512		Library for building powerful interactive command line applications in Python
django-commons/django-debug-toolbar	2	11613	Python	8374		A configurable set of panels that display various debug information about the current request/response.
google/traceur-compiler	2	19654	JavaScript	8134	yes	Traceur is a JavaScript.next-to-JavaScript-of-today compiler
alangpierce/sucrase	2	19104	TypeScript	5864		Super-fast alternative to Babel for when you can target modern JS runtimes
MattPD/cpplinks	2	6062		5253		 A categorized list of C++ resources.
evhub/coconut	2	8321	Python	4338		Simple, elegant, Pythonic functional programming.
happi/theBeamBook	2	7818	Erlang	4044		A description of the Erlang Runtime System ERTS and the virtual Machine BEAM.
quchen/articles	2	8466	Haskell	1310		Miscellaneous articles. The readme is the table of contents.
moonbitlang/core	2	17620	MoonBit	1140		MoonBit's Core library
ionelmc/python-hunter	2	6837	Python	871		Hunter is a flexible code tracing toolkit. 
JetBrains/Arend	2	19679	Java	749		The Arend Proof Assistant
leaningtech/cheerpj-meta	2	7017		671		Run Java 8 applications, libraries, applets, Java Web Start, and Oracle Forms on the web without legacy plugins.
adrian-thurston/ragel	2	18107	Ragel	620	yes	Ragel State Machine Compiler -- MOVED TO colm-suite
01alchemist/TurboScript	2	13796	JavaScript	495	yes	Super charged typed JavaScript dialect for parallel programming which compiles to WebAssembly
ciao-lang/ciao	2	16065	Prolog	345		Ciao is a modern Prolog implementation that builds up from a logic-based simple kernel designed to be portable, extensib
williamdemeo/TypeFunc	2	19586		322		Resources for type theory, functional programming, etc.
haukex/webperl	2	6301	HTML	294		Run Perl in the browser with WebPerl!
jamii/imp	2	5203	Zig	274	yes	Various experiments in relational programming
solidity-parser/parser	2	6123	TypeScript	186		A Solidity parser for JS built on top of a robust ANTLR4 grammar
nickna/SharpTS	2	15308	C#	142		Compile TypeScript to .NET IL; Use .NET classes in Typescript
iczelia/asmbf	2	9468	C	117	yes	The only true brainfuck-targetting assembler.
soyuka/php-wasm	2	50512	Dockerfile	99		PHP WebAssembly docker image. Original Project by Oraoto and Sean Morris. 
cdiggins/plato	2	116969	C#	93		A simple and efficient cross-platform programming language. 
bytecodealliance/spidermonkey-wasm-rs	2	88205	Rust	92	yes	
SWI-Prolog/swipl-wasm	2	1109	HTML	79	yes	Run SWI-Prolog in your browser using WebAssemply
haskell/hoopl	2	1886	Haskell	76		Higher-order optimization library
kreativekorp/openxion	2	20080	Java	74		OpenXION - Reference Implementation of the XION Scripting Language
x10-lang/x10	2	403933	X10	73		Core implementation of X10 programming language including compiler, runtime, class libraries, sample programs and test s
boschresearch/blech	2	2724	F#	71	yes	Blech is a language for developing reactive, real-time critical embedded software.
petelomax/Phix	2	552048	Euphoria	68		The Phix Programming Language
0xd34df00d/refinedt	2	2007	Agda	62		Refinement types + dependent types = ❤️
tokiwa-software/fuzion	2	30868	Java	62		The Fuzion Language Implementation
MinervaWare/well	2	35334	C	59		One instruction set, every CPU!
AvailLang/Avail	2	269923	Kotlin	58		The Avail programming language. Includes the virtual machine, standard library, and standard examples.
darius/cant	2	3654	Tree-sitter Query	57		A programming argot
Charles-Pegge/OxygenBasic	2	288424		56		BASIC compiler. Run programs directly, or compile to 32/64 bit binary. Supports C headers and assembly code. Supports Un
chao-peng/SIF	2	151858	C++	53		Solidity code instrumentation and analysis framework.
KCreate/stackvm	2	4707	Crystal	52		Virtual Machine with a 240x160 VRAM display.
ni/VireoSDK	2	28769	C++	51		Compact runtime for a subset of LabVIEW
stisa/nwasm	2	66809		51		Experimental wasm backend for nim
GoogleCloudPlatform/appengine-php	2	24728	C	47	yes	Source for the Google App Engine PHP interpreter
coderive-lang/Coderive	2	20860	Java	26		A modern general programming language implemented in Java. Offering fast array handling while coding in imperative synta
pouyakary/KaryScript	2	1368	TypeScript	21	yes	KaryScript is an experimental language to test the possibilities of a more readable textual language. It compiles to ES6
phpcommunity/phptestfest-php-src	2	269027	C	15	yes	A fork of the PHP interpreter at php/php-src, for use with PHP TestFest.
TheRealMichaelWang/NoHoPython	2	1854	C#	13		A strongly-typed, compiled dialect of Python.
Mathnerd314/stroscot	2	21435	Haskell	12		The Stroscot Programming Language
8l/linoleum	2	1472	HTML	11		
wsdt/AlmostBinary	2	30493	C#	9		Compiler & Runtime for 'Almost Binary'. Code in platform-independent binary and utilize high-level data structures and s
jszaday/LyteScript	2	4400	Java	6	yes	An interpreted, stack-based programming language with object-oriented features.
slaakko/cmajorm	2	136927	HTML	6		Source code for the Cmajor compiler and tools for Windows x64 and Linux, modular version
twinbee/evacSim	2	57061	C	5		Massive crowd-dynamics steering/flocking emergency egress simulation developed under a DHS grant in 2006
kennedyshead/prove	2	27682	Python	4		The non AI language
HeyiSun/Ub	2	30946	C	2		My project and algorithm at University at Buffalo
b-macker/NAAb	2	732704	C++	1		Stop AI agents before they do damage — behavioral sequence detection blocks credential exfiltration, config harvesting, 
georgestagg/webr	2	56444	TypeScript	1		The statistical language R compiled to WebAssembly via Emscripten, for use in web browsers and Node.
moltenform/lnzscript	2	20755	C++	1		LnzScript lets you automate Windows with JavaScript.
microsoft/TypeScript	1	2960523	TypeScript	109422		TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
dotnet/aspnetcore	1	383212	C#	38156		ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Lin
modular/modular	1	324389	Mojo	26413		The Modular Platform (includes MAX & Mojo)
oracle/graal	1	514301	Java	21616		GraalVM compiles applications into native executables that start instantly, scale fast, and use fewer compute resources 
wasp-lang/wasp	1	967231	TypeScript	18525		The batteries-included full-stack framework for the AI era. Develop JS/TS web apps (React, Node.js, and Prisma) using de
jashkenas/coffeescript	1	30595	CoffeeScript	16598		Unfancy JavaScript
dotnet/coreclr	1	333154		12767	yes	CoreCLR is the runtime for .NET Core. It includes the garbage collector, JIT compiler, primitive data types and low-leve
erlang/otp	1	627043	Erlang	12280		Erlang/OTP
mono/mono	1	579418	C#	11455		Mono open source ECMA CLI, C# and .NET implementation.
facebook/hermes	1	114172	JavaScript	11182		A JavaScript engine optimized for running React Native.
cs01/gdbgui	1	48092	TypeScript	10340		Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in C,
HaxeFoundation/haxe	1	89620	Haxe	6882		Haxe - The Cross-Platform Toolkit
brython-dev/brython	1	277417	Python	6599		Brython (Browser Python) is an implementation of Python 3 running in the browser
crytic/slither	1	73947	Python	6311		Static Analyzer for Solidity and Vyper
racket/racket	1	390176	Racket	5163		The Racket repository
emacs-mirror/emacs	1	1606214	Emacs Lisp	5095		Mirror of GNU Emacs
samuelmtimbo/unit	1	94407	TypeScript	4914		Next Generation Visual Programming System
Frege/frege	1	104554	Frege	3701		Frege is a Haskell for the JVM. It brings purely functional programing to the Java platform.
microsoft/devicescript	1	108066	TypeScript	3448	yes	TypeScript for Tiny IoT Devices (ESP32, RP2040, ...)
artichoke/artichoke	1	71773	Rust	3130	yes	💎 Artichoke is a Ruby made with Rust
bytedeco/javacpp-presets	1	808073	Java	2849		The missing Java distribution of native C++ libraries
eliben/pyelftools	1	25442	Python	2254		Parsing ELF and DWARF in Python
tweag/asterius	1	92407	Haskell	1949	yes	DEPRECATED in favor of ghc wasm backend, see https://www.tweag.io/blog/2022-11-22-wasm-backend-merged-in-ghc
jberg/butterchurn	1	33565	JavaScript	1889		Butterchurn is a WebGL implementation of the Milkdrop Visualizer
rakudo/rakudo	1	78848	Raku	1888		🦋 Rakudo – Raku on MoarVM, JVM, and JS
arcadia-unity/Arcadia	1	57904	Clojure	1685		Clojure in Unity
justjake/quickjs-emscripten	1	39353	TypeScript	1672		Safely execute untrusted Javascript in your Javascript, and execute synchronous code that uses async functions
dotnet/runtimelab	1	1132261		1604		This repo is for experimentation and exploring new ideas that may or may not make it into the main dotnet/runtime repo.
CakeML/cakeml	1	149885	Standard ML	1162		CakeML: A Verified Implementation of ML
IronLanguages/main	1	225398	Python	1155	yes	Work for this repo has moved to https://github.com/IronLanguages/ironpython2
hazelgrove/hazel	1	351351	Reason	1104		Hazel, a live functional programming environment with typed holes
NethermindEth/warp	1	695054	TypeScript	748	yes	Warp - Bringing Solidity to Starknet at warp speed. Warp is a Solidity to Cairo Compiler, this allows teams to write/mig
mozart/mozart2	1	41652	Oz	608		Mozart Programming System v2
tree-sitter/tree-sitter-javascript	1	44456	JavaScript	482		Javascript grammar for tree-sitter
kaffe/kaffe	1	196643	C	440	yes	The Kaffe Virtual Machine
githwxi/ATS-Postiats	1	40635	ATS	389		ATS2: Unleashing the Potentials of Types and Templates
haskell/happy	1	24150	Haskell	321		The Happy parser generator for Haskell
Shopify/ruvy	1	146075	Rust	317	yes	
mbeddr/mbeddr.core	1	1508045	JetBrains MPS	231		The mbeddr core. An extensible C
blitz-research/monkey	1	25178	C	229	yes	Blitz Research Monkey Source
xtclang/xvm	1	91768	Java	210		Ecstasy and XVM
federicobond/solidity-parser-antlr	1	2095	JavaScript	155	yes	A Solidity parser for JS built on top of a robust ANTLR4 grammar
blitz-research/monkey2	1	336407	Monkey	138		
rust-lang/llvm-project	1	3032417		132		Rust-specific fork of LLVM.
GerHobbelt/jison	1	33786	JavaScript	126		bison / YACC / LEX in JavaScript (LALR(1), SLR(1), etc. lexer/parser generator)
roc-lang/basic-cli	1	22372	Roc	116		A basic Command-Line Interface platform
llvm-mirror/llgo	1	9633	Go	88	yes	Mirror of official llgo git repository located at http://llvm.org/git/llgo. Updated every five minutes. http://llvm.org/
FemtoEmacs/wasCm	1	11973	TeX	35		
AshleyYakeley/Truth	1	11334	Haskell	34		Changes and Pinafore projects. Pull requests not accepted.
ethdebug/format	0	65782	TypeScript	78		Smart contract debugging data format – Standards development working group 
Domaman202/Project-Pihta	0	21256		18		
creichen/teal	0	21156	Java	1		
louisrubet/rpn	0	29880	C++	0	yes	RPN cli calculator
facebookarchive/BOLT	-1	1358416		2531	yes	Binary Optimization and Layout Tool - A linux command-line utility used for optimizing performance of binaries
